Gene Start End Germany_Passau_1800_HG_09 Sweden_Lund_1933_HG_15 Sweden_Lund_1933_HG_16 Sweden_Lund_1933_HG_20 Sweden_Lund_1933_HG0026 Sweden_Lund_1933_HG47203 Sweden_Lund_1933_HG47204 wMel_LabStrain_Gulbenkian wMel1_Finland wMel1_Portugal wMel2_Finland wMel2_Portugal wMelCS_LabStrain_Gulbenkian wMelCS1_Portugal wMelCS2_Portugal wMelCSPOP_LabStrain_Gulbenkian
WP_006280257.1 1097112 1097747 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280267.1 324189 325019 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280296.1 37671 38537 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete
WP_006280338.1 168604 169191 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280349.1 77862 78647 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280416.1 862180 863067 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280467.1 386284 387579 Complete Complete Complete Complete Missing Complete Complete FrameShift Complete FrameShift Complete Complete Complete Complete Complete Complete
WP_006280485.1 359576 360133 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280528.1 391721 392983 Missing Complete Complete Complete Missing Complete Complete FrameShift FrameShift FrameShift Complete Complete Complete Complete Complete Complete
WP_006280787.1 610545 611201 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007303020.1 556124 556324 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548280.1 150928 151134 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548354.1 81180 81314 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548354.1-2 190906 191040 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_007548354.1-3 235221 235355 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_007548499.1 199566 199712 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548528.1 1243810 1244217 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548577.1 1073729 1074679 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548582.1 1069860 1071110 Missing Complete Complete Complete Missing Complete Complete Complete FrameShift Complete FrameShift Complete FrameShift Complete Complete Complete
WP_007548590.1 1060089 1060403 Complete Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548602.1 843212 843415 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548610.1 836534 836740 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548640.1 231348 232427 Complete Complete Complete Complete Missing Complete Complete Complete FrameShift Complete Complete Complete Complete FrameShift Complete Complete
WP_007548750.1 1011193 1011885 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548762.1 226892 227221 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548762.1-2 310237 310566 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_007548762.1-3 1069132 1069461 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_007548764.1 1068521 1068928 Complete Complete Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548791.1 1203377 1204453 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548816.1 388608 389231 Missing Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548853.1 857490 857873 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548863.1 740542 740991 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007548890.1 757371 757646 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549043.1 1112315 1112665 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549064.1 1091941 1092342 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549065.1 1091263 1091706 Missing Missing Missing Complete Complete Complete Complete PrematureStop Complete Complete FrameShift Complete Complete Complete Complete Complete
WP_007549072.1 304383 305414 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete FrameShift
WP_007549224.1 847316 847696 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549224.1-2 873245 873625 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_007549265.1 226237 226719 Complete Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549273.1 987545 988363 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549313.1 13682 14161 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549315.1 12624 12776 Missing Missing Missing Missing Missing Missing Complete Complete Complete FrameShift Complete Complete FrameShift Complete FrameShift Complete
WP_007549821.1 654544 654891 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549925.1 653018 653254 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549940.1 921236 921439 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007549942.1 921455 921601 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007550159.1 315876 316139 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007550684.1 114704 114979 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007550761.1 1126669 1127493 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_007550857.1 582256 582561 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Missing
WP_007550873.1 644777 645205 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007551150.1 651046 651441 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007551887.1 20233 20634 Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007552425.1 631906 632241 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_007552972.1 915501 915770 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete
WP_010081826.1 1254054 1254206 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081834.1 1053794 1054003 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081840.1 519671 520042 Complete Complete Complete Complete Missing Complete Complete Complete FrameShift FrameShift Complete Complete Complete FrameShift Complete Complete
WP_010081866.1 853485 854222 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081874.1 435123 435578 Missing Complete Complete Complete Missing PrematureStop Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete
WP_010081876.1 552599 552808 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081889.1 1201177 1201656 Complete Complete Complete Complete Missing Complete Complete Complete Complete FrameShift FrameShift Complete Complete Complete Complete Complete
WP_010081926.1 1244278 1244574 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081931.1 1192350 1192847 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081932.1 1192907 1193383 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081959.1 984936 985658 Missing Complete Complete Complete Complete Complete Complete Complete Complete FrameShift FrameShift Complete FrameShift Complete Complete Complete
WP_010081965.1 1231380 1231733 Missing Complete Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081973.1 1178906 1179778 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift
WP_010081981.1 1099932 1100201 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081982.1 1100282 1101532 Missing Complete Complete Missing Missing Missing Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_010081984.1 977763 978740 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081985.1 977146 977763 Complete Complete Complete Complete Missing Missing Complete Incomplete Complete Complete FrameShift Complete Complete FrameShift Complete Complete
WP_010081986.1 976661 976894 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081987.1 678533 679270 Complete Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010081988.1 679799 680935 Complete Complete Missing Complete Missing Complete Complete Complete Complete FrameShift Complete Complete Complete FrameShift FrameShift Complete
WP_010081992.1 1019296 1019949 Complete Complete Complete Complete Missing Complete Complete FrameShift Complete FrameShift FrameShift Complete Complete FrameShift Complete Complete
WP_010081993.1 1018647 1019294 Complete Complete Complete Complete Missing Missing Complete Complete Complete FrameShift Complete Incomplete FrameShift Complete Complete Complete
WP_010081997.1 1195757 1196329 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082006.1 1112763 1112951 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082013.1 988766 989782 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082022.1 1115458 1115979 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
